#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.1.0
LOG_FILE_VERSION : 1.0.3
LOG_CREATION_SV : 2.1.0
SUBJECT_NAME : 227_cyepi
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 01/01/1916
SUBJECT_DESCRIPTION : 
DEVICE_ID : 3037
DEVICE_MODEL : ActTrust2
HARDWARE_VERSION : 1.3
FIRMWARE_VERSION : 1.6
MEMORY_SIZE : 7987712
LOG_SIZE : 425686
MEMORY_USAGE : 5.33 %
BATTERY_VOLTAGE : 4.02353
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 80
MODE : PIM/TAT/ZCM
INTERVAL : 60
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : None
FILE_DATE_TIME : 06/11/2023 14:09:45
CONNECTION_SYSTEM_DATE_TIME : 06/11/2023 14:09:25
CONNECTION_DEVICE_DATE_TIME : 06/11/2023 14:08:58
DEVICE_PLACEMENT : Undefined
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE;CAP_SENS_1;CAP_SENS_2;F1;F2;F3;F4;F5;F6;F7;F8;MELANOPIC EDI;CLEAR
30/10/2023 13:14:38;0;1;21.06;21.61;96;0;0;0;0;0;0;65.56;31.62;11.29;16.46;6.58;1.18;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
30/10/2023 13:15:38;0;0;20.88;21.36;96;0;0;0;0;0;0;65.56;31.63;11.29;16.46;6.58;1.18;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
30/10/2023 13:16:38;0;0;20.77;21.17;96;32;0.533333;3;0.05;0;0;64.18;30.99;11.08;16.11;6.43;1.13;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
30/10/2023 13:17:38;0;0;20.70;21.11;96;34;0.566667;5;0.0833333;0;0;60.98;29.44;10.52;15.31;6.12;1.11;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
30/10/2023 13:18:38;0;0;20.62;21.05;96;0;0;0;0;0;0;65.33;31.52;11.25;16.40;6.56;1.18;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
30/10/2023 13:19:38;0;0;20.58;20.92;96;0;0;0;0;0;0;65.33;31.51;11.24;16.40;6.56;1.18;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
30/10/2023 13:20:38;0;0;20.54;20.86;96;0;0;0;0;0;0;65.33;31.46;11.22;16.40;6.52;1.18;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
30/10/2023 13:21:38;0;0;20.51;20.80;96;0;0;0;0;0;0;65.16;31.41;11.21;16.36;6.50;1.18;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
30/10/2023 13:22:38;0;0;20.47;20.80;96;0;0;0;0;0;0;65.07;31.38;11.21;16.33;6.50;1.18;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
30/10/2023 13:23:38;0;0;20.46;20.73;96;0;0;0;0;0;0;65.02;31.37;11.21;16.32;6.50;1.08;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
