record_id;redcap_repeat_instrument;redcap_repeat_instance;exp_time;current;past;type;location;loc_spec;descr;feedback;identity___1;identity___2;identity___3;identity___4;identity___5;identity_spec;social_type___1;social_type___2;social_type___3;social_type___4;removal;future_use;startdate_2;enddate_2
225;;;;;;;;;;;;;;;;;;;;;;;;
225;experience_log;1;2;;30.10.2023 15:40;2;3;;When picking up my daughter from kindergarten the other children were very interested in the glasses. One One of the teachers was worried I may be recording and asked me about the glasses. After explaining they didn't seem to be as unsettled ;1;0;0;1;0;0;;0;1;0;1;0;I will be a bit more conscious in public so that others won't think I may be recording them.;30.10.2023 17:07;30.10.2023 17:16
