#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.1.0
LOG_FILE_VERSION : 1.0.3
LOG_CREATION_SV : 2.1.0
SUBJECT_NAME : 201_cyepi
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 01/01/2000
SUBJECT_DESCRIPTION : 
DEVICE_ID : 1604
DEVICE_MODEL : ActTrust2
HARDWARE_VERSION : 1.3
FIRMWARE_VERSION : 1.5
MEMORY_SIZE : 7987712
LOG_SIZE : 420150
MEMORY_USAGE : 5.26 %
BATTERY_VOLTAGE : 4.16471
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 80
MODE : PIM/TAT/ZCM
INTERVAL : 60
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : None
FILE_DATE_TIME : 21/08/2023 10:20:46
CONNECTION_SYSTEM_DATE_TIME : 21/08/2023 10:19:10
CONNECTION_DEVICE_DATE_TIME : 21/08/2023 10:18:50
DEVICE_PLACEMENT : Undefined
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE;CAP_SENS_1;CAP_SENS_2;F1;F2;F3;F4;F5;F6;F7;F8;MELANOPIC EDI;CLEAR
14/08/2023 11:36:08;0;0;28.96;29.12;80;43;2.54135e-08;4;2.36405e-09;1;5.91012e-10;9.20;5.68;2.58;2.31;1.01;2.09;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:37:08;0;0;28.83;28.93;66;273;4.55;17;0.283333;7;0.116667;5.07;3.16;1.46;1.27;0.54;1.20;0.00;0.00;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:38:08;0;0;28.55;28.74;96;7758;129.3;429;7.15;247;4.11667;19.78;9.88;3.43;4.96;2.61;3.54;0.00;1.43;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:39:08;0;0;28.39;28.55;96;942;15.7;49;0.816667;27;0.45;67.56;34.27;11.95;16.96;9.39;12.93;0.00;3.81;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:40:08;0;0;28.36;28.49;96;0;0;0;0;0;0;123.24;62.44;21.67;30.94;17.30;22.74;0.00;6.67;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:41:08;0;0;28.33;28.49;96;0;0;0;0;0;0;122.98;62.28;21.59;30.87;17.27;22.54;0.00;6.67;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:42:08;0;0;28.31;28.43;96;0;0;0;0;0;0;121.60;61.59;21.35;30.53;17.07;22.30;0.00;6.67;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:43:08;0;0;28.29;28.43;96;0;0;0;0;0;0;120.62;61.08;21.15;30.28;16.99;22.10;0.00;6.67;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:44:08;0;0;28.29;28.43;96;0;0;0;0;0;0;119.56;60.47;20.92;30.01;16.80;21.85;0.00;6.67;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:45:08;0;0;28.27;28.43;96;0;0;0;0;0;0;117.91;59.63;20.62;29.60;16.60;21.56;0.00;6.19;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:46:08;0;0;28.27;28.43;96;12;0.2;2;0.0333333;0;0;116.09;58.71;20.29;29.14;16.37;21.31;0.00;6.67;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:47:08;0;0;28.26;28.37;96;0;0;0;0;0;0;115.78;58.50;20.20;29.06;16.32;21.17;0.00;6.19;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:48:08;0;0;28.25;28.37;96;0;0;0;0;0;0;115.47;58.31;20.11;28.99;16.29;21.07;0.00;6.19;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:49:08;0;0;28.24;28.37;96;6;0.1;1;0.0166667;0;0;114.71;57.94;19.96;28.80;16.21;20.92;0.00;6.19;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:50:08;0;0;28.24;28.37;96;0;0;0;0;0;0;113.60;57.36;19.75;28.52;16.06;20.67;0.00;6.19;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
14/08/2023 11:51:08;0;0;28.25;28.37;96;0;0;0;0;0;0;113.29;57.15;19.66;28.44;16.02;20.58;0.00;6.19;0;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.00
