#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.1.0
LOG_FILE_VERSION : 1.0.3
LOG_CREATION_SV : 2.1.0
SUBJECT_NAME : amb_cw45
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 01/01/1900
DEVICE_PLACEMENT : 
SUBJECT_DESCRIPTION : -
DEVICE_ID : 1431
DEVICE_MODEL : AL0101
HARDWARE_VERSION : 1.0
FIRMWARE_VERSION : 1.2
MEMORY_SIZE : 7963136
LOG_SIZE : 1368228
MEMORY_USAGE : 17.18 %
BATTERY_VOLTAGE : 3.7359
ERROR_FLAG : -
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : -
ORIENTATION : 0
MODE : -
INTERVAL : -
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : None
FILE_DATE_TIME : 13/11/2023 11:49:00
CONNECTION_SYSTEM_DATE_TIME : 13/11/2023 11:47:09
CONNECTION_DEVICE_DATE_TIME : 01/01/2000 00:01:30
DEVICE_PLACEMENT : 
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE;CAP_SENS_1;CAP_SENS_2;F1;F2;F3;F4;F5;F6;F7;F8;MELANOPIC EDI;CLEAR
06/11/2023 09:39:53;0;0;25.62;0.00;1;0;0;0;0;0;0;101.61;0.00;0.00;0.00;0.00;0.05;0.00;0.00;4;204;160;0.0048;0.0084;0.0115;0.0161;0.0180;0.0195;0.0227;0.0330;92.67;0.10
06/11/2023 09:40:23;0;0;25.19;0.00;1;2831;94.3667;111;3.7;121;4.03333;115.08;0.00;0.00;0.00;0.00;0.05;0.00;0.00;0;204;160;0.0049;0.0088;0.0123;0.0176;0.0198;0.0221;0.0262;0.0361;102.04;0.10
06/11/2023 09:40:53;0;0;24.25;0.00;16;42;1.4;0;0;3;0.1;175.26;0.00;0.00;0.00;0.00;0.05;0.00;0.00;0;242;192;0.0062;0.0116;0.0170;0.0250;0.0294;0.0328;0.0387;0.0492;149.72;0.13
06/11/2023 09:41:23;0;0;23.62;0.00;16;914;30.4667;9;0.3;57;1.9;413.99;0.00;0.00;0.00;0.00;0.12;0.00;0.00;0;243;192;0.0146;0.0275;0.0398;0.0577;0.0699;0.0776;0.0912;0.1150;350.55;0.31
06/11/2023 09:41:53;0;0;23.19;0.00;16;0;0;0;0;0;0;960.39;0.00;0.00;0.00;0.00;0.24;0.00;0.00;0;244;192;0.0332;0.0622;0.0920;0.1351;0.1596;0.1761;0.2054;0.2512;833.62;0.67
06/11/2023 09:42:23;0;0;22.81;0.00;16;0;0;0;0;0;0;560.46;0.00;0.00;0.00;0.00;0.14;0.00;0.00;0;244;192;0.0198;0.0374;0.0548;0.0795;0.0932;0.1020;0.1183;0.1451;496.64;0.39
06/11/2023 09:42:53;0;0;22.50;0.00;16;2211;73.7;60;2;109;3.63333;640.16;0.00;0.00;0.00;0.00;0.17;0.00;0.00;0;244;192;0.0222;0.0415;0.0611;0.0898;0.1071;0.1183;0.1382;0.1711;548.20;0.46
06/11/2023 09:43:23;0;0;22.25;0.00;16;2796;93.2;65;2.16667;125;4.16667;222.14;0.00;0.00;0.00;0.00;0.06;0.00;0.00;0;244;192;0.0068;0.0127;0.0189;0.0291;0.0379;0.0432;0.0501;0.0602;166.28;0.16
06/11/2023 09:43:53;0;0;22.06;0.00;16;914;30.4667;1;0.0333333;67;2.23333;119.88;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0;244;192;0.0032;0.0069;0.0086;0.0125;0.0223;0.0247;0.0224;0.0177;75.13;0.08
06/11/2023 09:44:23;0;0;21.81;0.00;16;1433;47.7667;23;0.766667;86;2.86667;16513.55;0.00;0.00;0.00;0.00;6.13;0.00;0.00;0;244;192;0.7810;1.4022;1.8874;2.5586;2.6885;3.0013;3.6426;4.6302;16857.25;13.15
06/11/2023 09:44:53;0;0;21.75;0.00;16;0;0;0;0;0;0;23620.25;0.00;0.00;0.00;0.00;8.04;0.00;0.00;0;244;192;1.0528;1.8928;2.5478;3.4463;3.8998;4.3461;5.2791;6.6894;22753.74;18.02
06/11/2023 09:45:23;0;0;21.81;0.00;16;0;0;0;0;0;0;26781.41;0.00;0.00;0.00;0.00;9.31;0.00;0.00;0;244;192;1.1834;2.1243;2.8712;3.9070;4.4242;4.9567;6.0446;7.6868;25539.88;20.61
06/11/2023 09:45:53;0;0;21.94;0.00;16;0;0;0;0;0;0;19517.54;0.00;0.00;0.00;0.00;6.58;0.00;0.00;0;246;192;0.8938;1.6073;2.1429;2.8661;3.2137;3.5606;4.2960;5.4298;19249.20;14.79
06/11/2023 09:46:23;0;0;22.12;0.00;16;0;0;0;0;0;0;14771.82;0.00;0.00;0.00;0.00;4.89;0.00;0.00;0;248;192;0.7083;1.2750;1.6732;2.1963;2.4224;2.6514;3.1623;3.9734;15168.50;11.08
06/11/2023 09:46:53;0;0;22.25;0.00;16;0;0;0;0;0;0;14642.53;0.00;0.00;0.00;0.00;4.92;0.00;0.00;0;248;192;0.7039;1.2653;1.6587;2.1777;2.4023;2.6326;3.1413;3.9529;15021.98;11.02
06/11/2023 09:47:23;0;0;22.38;0.00;16;0;0;0;0;0;0;15503.11;0.00;0.00;0.00;0.00;5.27;0.00;0.00;0;248;192;0.7370;1.3239;1.7420;2.2987;2.5468;2.8016;3.3513;4.2258;15731.80;11.71
06/11/2023 09:47:53;0;0;22.44;0.00;16;0;0;0;0;0;0;14989.90;0.00;0.00;0.00;0.00;5.11;0.00;0.00;0;248;192;0.7144;1.2832;1.6873;2.2252;2.4628;2.7078;3.2367;4.0806;15235.81;11.34
06/11/2023 09:48:23;0;0;22.44;0.00;16;0;0;0;0;0;0;14353.60;0.00;0.00;0.00;0.00;4.84;0.00;0.00;0;246;192;0.6857;1.2322;1.6186;2.1316;2.3567;2.5878;3.0890;3.8893;14638.88;10.83
06/11/2023 09:48:53;0;0;22.50;0.00;16;0;0;0;0;0;0;13792.80;0.00;0.00;0.00;0.00;4.65;0.00;0.00;0;246;192;0.6636;1.1918;1.5619;2.0524;2.2621;2.4813;2.9566;3.7193;14150.78;10.38
06/11/2023 09:49:23;0;0;22.44;0.00;16;0;0;0;0;0;0;13576.80;0.00;0.00;0.00;0.00;4.69;0.00;0.00;0;246;192;0.6552;1.1760;1.5378;2.0182;2.2307;2.4472;2.9131;3.6673;13907.22;10.25
06/11/2023 09:49:53;0;0;22.44;0.00;16;0;0;0;0;0;0;13526.53;0.00;0.00;0.00;0.00;4.82;0.00;0.00;0;245;192;0.6566;1.1782;1.5398;2.0201;2.2235;2.4401;2.9036;3.6565;13892.87;10.29
06/11/2023 09:50:23;0;0;22.38;0.00;16;0;0;0;0;0;0;13706.93;0.00;0.00;0.00;0.00;5.01;0.00;0.00;0;245;192;0.6646;1.1912;1.5581;2.0461;2.2578;2.4810;2.9537;3.7234;14009.84;10.50
06/11/2023 09:50:53;0;0;22.31;0.00;16;0;0;0;0;0;0;14069.26;0.00;0.00;0.00;0.00;5.22;0.00;0.00;0;245;192;0.6791;1.2174;1.5949;2.0995;2.3206;2.5539;3.0443;3.8419;14303.25;10.83
